"main", "215", "SYSTEM", "Method Exit", "returner=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "216", "SYSTEM", "Method Exit", "returner=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "217", "SYSTEM", "Method Exit", "returner=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "218", "SYSTEM", "Method Returned", ""
"main", "219", "SYSTEM", "Line Step", "<source unavailable>"
"main", "220", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:2, target=junit.framework.TestSuite:2#addTest:2"
"main", "221", "SYSTEM", "Method Entered", ""
"main", "222", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTest:2, test=junit.tests.ExtensionTest:2"
"main", "223", "SYSTEM", "Line Step", "<source unavailable>"
"main", "224", "SYSTEM", "Field Read", "context=junit.framework.TestSuite:2, fTests"
"main", "225", "SYSTEM", "Line Step", "<source unavailable>"
"main", "226", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#addTest:2, value=<void>"
"main", "227", "SYSTEM", "Method Returned", ""
"main", "228", "SYSTEM", "Line Step", "<source unavailable>"
"main", "229", "SYSTEM", "Variable Delete", "method=junit.framework.TestSuite:2#addTestMethod:2 <name=args,type=java.lang.Object[] (id=53),value=<?>,index=4>"
"main", "230", "SYSTEM", "Line Step", "<source unavailable>"
"main", "231", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#addTestMethod:2, value=<void>"
"main", "232", "SYSTEM", "Method Returned", ""
"main", "233", "SYSTEM", "Line Step", "<source unavailable>"
"main", "234", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, i=2"
"main", "235", "SYSTEM", "Line Step", "<source unavailable>"
"main", "236", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#junit.framework.TestSuite:1, target=junit.framework.TestSuite:2#addTestMethod:3"
"main", "237", "SYSTEM", "Method Entered", ""
"main", "238", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:3, m=java.lang.reflect.Method (id=81)"
"main", "239", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:3, names=java.util.Vector (id=58)"
"main", "240", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:3, constructor=java.lang.reflect.Constructor (id=55)"
"main", "241", "SYSTEM", "Line Step", "<source unavailable>"
"main", "242", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:3, name=""testRunningErrorInTestSetup"""
"main", "243", "SYSTEM", "Line Step", "<source unavailable>"
"main", "244", "SYSTEM", "Line Step", "<source unavailable>"
"main", "245", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:3, target=junit.framework.TestSuite:2#isPublicTestMethod:3"
"main", "246", "SYSTEM", "Method Entered", ""
"main", "247", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:3, m=java.lang.reflect.Method (id=81)"
"main", "248", "SYSTEM", "Line Step", "<source unavailable>"
"main", "249", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#isPublicTestMethod:3, target=junit.framework.TestSuite:2#isTestMethod:3"
"main", "250", "SYSTEM", "Method Entered", ""
"main", "251", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:3, m=java.lang.reflect.Method (id=81)"
"main", "252", "SYSTEM", "Line Step", "<source unavailable>"
"main", "253", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:3, name=""testRunningErrorInTestSetup"""
"main", "254", "SYSTEM", "Line Step", "<source unavailable>"
"main", "255", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:3, parameters=java.lang.Class[0] (id=83)"
"main", "256", "SYSTEM", "Line Step", "<source unavailable>"
"main", "257", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:3, returnType=java.lang.Class (id=65)"
"main", "258", "SYSTEM", "Line Step", "<source unavailable>"
"main", "259", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:3, result=true"
"main", "260", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isTestMethod:3, value=true"
"main", "261", "SYSTEM", "Method Returned", ""
"main", "262", "SYSTEM", "Line Step", "<source unavailable>"
"main", "263", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:3, result=true"
"main", "264", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isPublicTestMethod:3, value=true"
"main", "265", "SYSTEM", "Method Returned", ""
"main", "266", "SYSTEM", "Line Step", "<source unavailable>"
"main", "267", "SYSTEM", "Line Step", "<source unavailable>"
"main", "268", "SYSTEM", "Line Step", "<source unavailable>"
"main", "269", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:3, args=java.lang.Object[1] (id=84)"
